sale_id,product_id,region_id,sale_date,quantity,discount,total_amount
204,10,1,2023-01-18,49,0.0,98.0
205,10,5,2023-04-19,46,0.0,92.0
206,5,1,2023-09-08,37,0.15,6919.0
207,2,3,2024-02-14,50,0.1,36000.0
208,4,2,2024-05-31,11,0.1,594.0
209,3,5,2023-01-21,40,0.05,5700.0
210,6,4,2023-05-13,18,0.05,513.0
211,3,2,2024-08-18,1,0.05,142.5
212,3,1,2023-09-27,47,0.0,7050.0
213,1,4,2024-04-17,22,0.15,22440.0
214,4,2,2024-07-15,28,0.15,1428.0
215,4,2,2024-05-25,39,0.15,1989.0
216,2,2,2023-08-08,49,0.05,37240.0
217,2,2,2023-06-06,36,0.1,25920.0
218,1,4,2024-05-27,5,0.1,5400.0
219,4,4,2023-05-19,25,0.0,1500.0
220,5,2,2024-08-31,9,0.05,1881.0
221,9,2,2023-05-17,39,0.0,195.0
222,1,3,2024-11-15,41,0.0,49200.0
223,10,5,2024-12-06,37,0.0,74.0
224,8,2,2024-04-25,47,0.0,940.0
225,10,1,2023-07-02,26,0.05,49.4
226,3,4,2024-01-10,2,0.1,270.0
227,3,2,2023-07-15,37,0.0,5550.0
228,10,5,2023-01-31,6,0.0,12.0
229,9,1,2023-07-26,46,0.1,207.0
230,5,3,2023-01-04,17,0.05,3553.0
231,3,3,2024-11-09,1,0.05,142.5
232,2,2,2024-09-24,20,0.05,15200.0
233,4,2,2023-11-02,16,0.0,960.0
234,2,5,2024-09-06,3,0.0,2400.0
235,3,3,2023-06-21,47,0.1,6345.0
236,3,1,2024-05-04,15,0.0,2250.0
237,6,5,2024-02-16,40,0.1,1080.0
238,10,1,2024-10-03,27,0.15,45.9
239,7,2,2024-06-11,17,0.05,4845.0
240,1,5,2024-07-22,37,0.15,37740.0
241,3,2,2023-11-07,12,0.1,1620.0
242,1,1,2024-10-30,37,0.1,39960.0
243,7,5,2023-07-19,43,0.05,12255.0
244,7,3,2023-02-02,24,0.0,7200.0
245,6,2,2024-02-13,40,0.05,1140.0
246,3,2,2023-12-27,13,0.0,1950.0
247,9,2,2024-10-13,3,0.1,13.5
248,6,2,2023-05-18,3,0.1,81.0
249,1,5,2023-02-15,36,0.1,38880.0
250,7,4,2023-05-17,23,0.0,6900.0
251,3,4,2023-01-13,47,0.05,6697.5
252,6,4,2024-04-07,13,0.05,370.5
253,1,4,2024-01-26,26,0.15,26520.0
254,3,5,2024-11-19,48,0.1,6480.0
255,1,5,2024-06-26,23,0.1,24840.0
256,9,1,2024-01-29,45,0.05,213.75
257,8,1,2024-09-29,14,0.1,252.0
258,7,2,2023-10-19,32,0.05,9120.0
259,10,3,2023-10-12,25,0.15,42.5
260,10,3,2024-12-11,4,0.1,7.2
261,2,3,2024-10-17,11,0.1,7920.0
262,10,4,2023-02-28,35,0.05,66.5
263,8,1,2023-12-28,1,0.1,18.0
264,9,5,2023-07-09,33,0.15,140.25
265,6,5,2024-12-03,31,0.0,930.0
266,9,3,2023-07-20,41,0.15,174.25
267,8,1,2024-04-23,1,0.1,18.0
268,6,3,2024-05-17,47,0.0,1410.0
269,2,5,2024-10-15,19,0.0,15200.0
270,3,1,2024-10-01,18,0.05,2565.0
271,10,5,2023-02-17,28,0.0,56.0
272,3,1,2023-11-26,48,0.1,6480.0
273,2,1,2023-10-03,36,0.1,25920.0
274,9,1,2023-06-05,15,0.1,67.5
275,8,4,2023-09-18,12,0.05,228.0
276,2,5,2023-11-17,27,0.05,20520.0
277,3,5,2023-02-19,34,0.05,4845.0
278,3,2,2023-04-07,25,0.05,3562.5
279,4,2,2023-07-28,39,0.0,2340.0
280,3,1,2024-12-06,2,0.1,270.0
281,9,2,2024-04-28,17,0.1,76.5
282,8,1,2023-09-01,9,0.05,171.0
283,2,1,2024-12-31,23,0.1,16560.0
284,9,1,2023-05-22,49,0.1,220.5
285,4,3,2024-05-19,37,0.05,2109.0
286,7,1,2024-03-19,5,0.1,1350.0
287,3,4,2023-07-15,48,0.05,6840.0
288,10,1,2023-09-20,24,0.1,43.2
289,7,3,2023-07-24,19,0.05,5415.0
290,1,1,2024-02-24,30,0.1,32400.0
291,9,3,2023-01-02,33,0.05,156.75
292,3,4,2023-10-25,42,0.0,6300.0
293,7,1,2024-06-14,35,0.05,9975.0
294,4,1,2024-08-20,43,0.05,2451.0
295,7,5,2023-10-21,28,0.15,7140.0
296,9,4,2023-02-23,21,0.0,105.0
297,1,4,2024-06-15,28,0.1,30240.0
298,9,1,2024-10-12,50,0.1,225.0
299,4,4,2023-03-19,26,0.0,1560.0
300,3,2,2023-02-20,38,0.1,5130.0
301,7,4,2023-11-04,31,0.1,8370.0
302,10,4,2023-05-12,40,0.05,76.0
303,1,1,2024-02-14,22,0.1,23760.0
304,5,5,2023-11-02,8,0.15,1496.0
305,6,4,2023-01-21,10,0.1,270.0
306,10,5,2023-03-10,49,0.15,83.3
307,9,2,2023-03-21,42,0.05,199.5
308,5,3,2024-03-18,22,0.15,4114.0
309,10,3,2024-09-26,3,0.1,5.4
310,7,1,2023-07-17,38,0.0,11400.0
311,7,1,2024-05-07,6,0.1,1620.0
312,4,3,2023-05-14,19,0.0,1140.0
313,5,3,2024-01-25,3,0.0,660.0
314,3,2,2023-05-06,12,0.15,1530.0
315,6,4,2023-03-11,9,0.15,229.5
316,9,2,2023-06-04,32,0.0,160.0
317,6,2,2024-04-09,25,0.1,675.0
318,1,3,2024-02-15,29,0.15,29580.0
319,2,2,2023-01-05,21,0.1,15120.0
320,4,3,2024-11-03,14,0.05,798.0
321,10,5,2023-05-31,36,0.05,68.39999999999999
322,6,5,2023-04-21,23,0.1,621.0
323,4,1,2023-11-01,28,0.1,1512.0
324,7,3,2023-12-24,4,0.15,1020.0
325,10,5,2023-06-20,9,0.0,18.0
326,8,3,2023-01-22,12,0.1,216.0
327,7,1,2023-04-16,1,0.0,300.0
328,10,5,2024-02-01,25,0.0,50.0
329,2,4,2024-08-02,42,0.0,33600.0
330,2,1,2024-06-21,27,0.05,20520.0
331,3,1,2024-09-12,37,0.0,5550.0
332,3,5,2023-10-31,40,0.1,5400.0
333,6,5,2024-07-25,36,0.1,972.0
334,2,4,2024-06-28,47,0.15,31960.0
335,1,4,2024-07-13,33,0.1,35640.0
336,1,1,2024-11-04,45,0.1,48600.0
337,6,2,2024-02-22,34,0.1,918.0
338,1,5,2023-08-03,7,0.0,8400.0
339,9,4,2024-12-11,48,0.0,240.0
340,7,3,2024-08-17,5,0.05,1425.0
341,3,2,2023-02-17,42,0.15,5355.0
342,7,4,2024-05-31,42,0.05,11970.0
343,9,3,2024-12-22,42,0.15,178.5
344,10,1,2023-06-14,29,0.1,52.2
345,3,1,2024-02-06,49,0.05,6982.5
346,8,3,2024-08-24,46,0.05,874.0
347,2,2,2024-05-30,19,0.0,15200.0
348,3,1,2023-03-28,43,0.1,5805.0
349,3,4,2023-05-21,14,0.05,1995.0
350,3,4,2023-06-20,14,0.15,1785.0
351,3,1,2023-05-11,21,0.05,2992.5
352,2,5,2024-02-12,29,0.1,20880.0
353,3,3,2024-05-24,17,0.05,2422.5
354,9,5,2024-05-27,5,0.0,25.0
355,2,3,2024-06-26,2,0.0,1600.0
356,3,2,2023-11-05,33,0.0,4950.0
357,5,2,2023-10-16,19,0.0,4180.0
358,2,5,2024-07-18,31,0.1,22320.0
359,7,4,2023-04-24,22,0.0,6600.0
360,1,2,2023-01-23,7,0.0,8400.0
361,3,4,2024-07-06,44,0.0,6600.0
362,3,5,2023-04-12,49,0.15,6247.5
363,8,3,2023-04-14,2,0.15,34.0
364,6,3,2023-07-21,3,0.15,76.5
365,7,3,2023-05-19,20,0.0,6000.0
366,6,3,2023-01-13,21,0.1,567.0
367,5,2,2024-04-14,34,0.0,7480.0
368,5,3,2023-12-14,12,0.15,2244.0
369,2,1,2023-07-02,11,0.15,7480.0
370,8,4,2023-08-10,19,0.1,342.0
371,4,5,2023-12-21,30,0.15,1530.0
372,10,3,2024-03-19,47,0.1,84.60000000000001
373,8,5,2024-06-04,19,0.15,323.0
374,4,4,2024-02-27,18,0.15,918.0
375,10,3,2023-09-09,20,0.05,38.0
376,7,4,2023-09-07,11,0.0,3300.0
377,5,1,2024-12-30,1,0.05,209.0
378,3,4,2024-04-13,1,0.0,150.0
379,7,2,2024-04-10,24,0.05,6840.0
380,10,2,2023-01-22,23,0.05,43.699999999999996
381,3,5,2023-08-31,45,0.1,6075.0
382,1,1,2024-04-22,41,0.0,49200.0
383,6,1,2024-12-28,50,0.1,1350.0
384,5,3,2023-12-18,36,0.1,7128.0
385,4,4,2023-10-31,14,0.15,714.0
386,5,2,2024-12-13,22,0.05,4598.0
387,5,4,2023-06-08,48,0.05,10032.0
388,9,3,2024-11-18,25,0.05,118.75
389,6,3,2023-01-28,13,0.05,370.5
390,8,3,2023-06-24,42,0.05,798.0
391,2,4,2023-04-18,36,0.05,27360.0
392,7,4,2024-05-19,11,0.05,3135.0
393,5,4,2023-12-18,7,0.0,1540.0
394,8,3,2023-09-23,11,0.0,220.0
395,2,3,2023-03-23,4,0.05,3040.0
396,9,3,2023-11-27,49,0.15,208.25
397,10,2,2024-01-04,48,0.05,91.19999999999999
398,9,4,2023-08-28,22,0.15,93.5
399,9,1,2023-07-24,4,0.05,19.0
400,9,1,2023-05-13,25,0.15,106.25
401,4,4,2023-03-10,44,0.15,2244.0
402,5,5,2023-08-04,46,0.15,8602.0
403,6,2,2023-10-10,16,0.0,480.0
404,8,4,2024-11-29,16,0.0,320.0
405,9,4,2024-09-09,4,0.05,19.0
406,8,1,2023-09-21,12,0.05,228.0
407,9,1,2023-03-11,37,0.0,185.0
408,8,1,2024-08-26,45,0.05,855.0
409,2,1,2023-08-16,23,0.1,16560.0
410,1,4,2024-02-12,10,0.1,10800.0
411,2,1,2023-07-16,17,0.1,12240.0
412,7,4,2023-11-16,25,0.1,6750.0
413,3,1,2024-05-29,41,0.1,5535.0
414,6,1,2023-04-14,43,0.1,1161.0
415,5,2,2023-02-20,29,0.1,5742.0
416,9,5,2024-11-03,44,0.15,187.0
417,6,2,2024-12-22,18,0.1,486.0
418,1,4,2024-05-01,48,0.05,54720.0
419,5,1,2024-10-10,17,0.05,3553.0
420,9,2,2023-05-02,6,0.1,27.0
421,7,1,2024-05-24,21,0.1,5670.0
422,9,5,2023-09-22,40,0.05,190.0
423,1,1,2023-06-25,23,0.05,26220.0
424,2,4,2024-08-16,27,0.05,20520.0
425,9,2,2024-09-13,10,0.0,50.0
426,2,1,2023-06-27,14,0.0,11200.0
427,1,1,2024-04-29,21,0.1,22680.0
428,4,1,2024-10-07,44,0.1,2376.0
429,7,3,2024-02-20,45,0.05,12825.0
430,10,4,2024-10-13,32,0.15,54.4
431,9,3,2024-04-18,42,0.0,210.0
432,10,3,2024-07-10,29,0.05,55.099999999999994
433,10,4,2023-10-18,5,0.1,9.0
434,9,2,2024-06-06,8,0.15,34.0
435,10,3,2023-09-18,33,0.0,66.0
436,2,4,2024-11-09,15,0.05,11400.0
437,8,2,2024-12-03,17,0.15,289.0
438,7,1,2024-02-27,12,0.0,3600.0
439,4,2,2023-08-23,1,0.0,60.0
440,5,3,2023-01-12,40,0.1,7920.0
441,2,2,2023-11-04,17,0.15,11560.0
442,8,2,2023-06-25,43,0.15,731.0
443,6,3,2024-05-31,42,0.1,1134.0
444,7,2,2023-06-21,13,0.15,3315.0
445,6,1,2024-11-14,20,0.0,600.0
446,4,3,2024-01-13,42,0.1,2268.0
447,5,1,2023-07-11,47,0.15,8789.0
448,4,5,2023-07-29,18,0.1,972.0
449,2,3,2023-02-10,3,0.05,2280.0
450,3,1,2023-06-04,45,0.1,6075.0
451,9,4,2024-11-12,23,0.0,115.0
452,10,4,2024-06-24,33,0.15,56.1
453,4,4,2023-05-25,1,0.15,51.0
454,5,5,2024-06-24,17,0.1,3366.0
455,8,4,2023-10-19,21,0.0,420.0
456,5,2,2023-10-30,41,0.15,7667.0
457,4,5,2024-08-31,45,0.0,2700.0
458,1,3,2023-07-28,34,0.0,40800.0
459,3,4,2023-11-09,8,0.1,1080.0
460,5,2,2023-02-09,18,0.15,3366.0
461,10,4,2023-02-22,16,0.05,30.4
462,7,3,2023-01-16,23,0.05,6555.0
463,2,5,2024-05-20,39,0.15,26520.0
464,10,1,2024-03-19,30,0.05,57.0
465,2,5,2023-10-04,35,0.05,26600.0
466,9,3,2023-11-17,33,0.1,148.5
467,6,4,2024-11-11,35,0.0,1050.0
468,10,1,2024-11-27,41,0.15,69.7
469,2,4,2023-07-15,9,0.1,6480.0
470,7,2,2024-09-28,8,0.05,2280.0
471,9,4,2024-03-10,38,0.05,180.5
472,10,3,2023-11-25,8,0.0,16.0
473,4,2,2023-02-19,28,0.0,1680.0
474,5,3,2023-09-06,24,0.05,5016.0
475,5,1,2024-10-03,43,0.05,8987.0
476,7,3,2024-10-14,8,0.1,2160.0
477,6,4,2023-05-18,45,0.15,1147.5
478,1,5,2024-04-27,5,0.1,5400.0
479,10,2,2024-04-28,31,0.15,52.699999999999996
480,2,5,2024-02-07,45,0.1,32400.0
481,5,1,2023-12-27,11,0.05,2299.0
482,9,1,2024-05-06,39,0.15,165.75
483,7,3,2023-11-03,46,0.0,13800.0
484,9,5,2023-04-11,21,0.0,105.0
485,7,4,2023-07-29,31,0.05,8835.0
486,10,4,2023-02-11,29,0.0,58.0
487,9,2,2024-08-10,7,0.05,33.25
488,7,4,2023-12-24,34,0.15,8670.0
489,2,3,2024-11-12,10,0.05,7600.0
490,5,3,2023-11-08,43,0.1,8514.0
491,7,1,2024-10-19,35,0.15,8925.0
492,9,5,2023-07-19,32,0.1,144.0
493,6,4,2023-01-18,30,0.15,765.0
494,8,3,2023-02-25,8,0.1,144.0
495,7,1,2023-05-24,24,0.15,6120.0
496,10,2,2023-12-28,20,0.15,34.0
497,8,1,2023-08-11,15,0.0,300.0
498,7,1,2024-06-19,4,0.05,1140.0
499,2,5,2023-09-29,12,0.1,8640.0
500,7,3,2024-09-23,29,0.15,7395.0
501,6,1,2023-12-06,36,0.15,918.0
502,10,5,2024-11-07,9,0.0,18.0
503,5,1,2023-12-09,32,0.0,7040.0
504,3,4,2023-09-14,20,0.1,2700.0
505,10,4,2024-01-28,47,0.05,89.3
506,3,3,2023-12-03,49,0.05,6982.5
507,8,2,2023-10-27,13,0.1,234.0
508,8,2,2023-10-31,31,0.15,527.0
509,10,2,2023-09-06,25,0.0,50.0
510,8,4,2023-08-05,41,0.15,697.0
511,8,3,2024-04-15,21,0.15,357.0
512,8,5,2023-03-20,45,0.05,855.0
513,4,5,2024-07-13,44,0.0,2640.0
514,9,2,2023-10-01,22,0.05,104.5
515,7,2,2023-06-04,42,0.1,11340.0
516,9,2,2023-11-08,49,0.0,245.0
517,5,2,2023-04-14,30,0.15,5610.0
518,7,3,2024-12-01,24,0.15,6120.0
519,8,5,2024-04-22,37,0.05,703.0
520,10,3,2023-09-14,4,0.1,7.2
521,1,5,2024-08-31,24,0.15,24480.0
522,3,3,2023-01-13,31,0.0,4650.0
523,10,5,2024-04-23,35,0.15,59.5
524,8,1,2024-02-10,42,0.1,756.0
525,9,5,2024-06-07,31,0.0,155.0
526,9,3,2024-12-08,21,0.0,105.0
527,3,1,2024-01-21,42,0.0,6300.0
528,1,1,2024-03-16,21,0.0,25200.0
529,3,5,2023-07-24,34,0.1,4590.0
530,1,5,2024-04-26,24,0.1,25920.0
531,8,4,2023-12-17,37,0.1,666.0
532,9,2,2024-04-11,29,0.05,137.75
533,1,3,2023-09-01,6,0.15,6120.0
534,6,3,2023-12-30,46,0.05,1311.0
535,3,1,2023-11-21,21,0.15,2677.5
536,2,4,2023-12-14,16,0.0,12800.0
537,3,2,2023-11-23,46,0.05,6555.0
538,4,1,2024-04-02,12,0.0,720.0
539,4,5,2024-04-05,16,0.0,960.0
540,4,3,2024-06-12,4,0.15,204.0
541,4,4,2024-03-16,34,0.05,1938.0
542,2,5,2023-01-16,16,0.05,12160.0
543,3,5,2024-08-03,31,0.15,3952.5
544,2,4,2023-02-09,40,0.05,30400.0
545,9,3,2023-12-13,49,0.05,232.75
546,2,5,2024-02-19,41,0.15,27880.0
547,6,4,2023-11-22,47,0.05,1339.5
548,3,3,2024-06-26,46,0.0,6900.0
549,1,5,2024-06-26,13,0.0,15600.0
550,2,5,2023-03-30,33,0.05,25080.0
551,10,4,2024-11-13,20,0.15,34.0
552,1,4,2023-07-24,48,0.15,48960.0
553,5,2,2023-07-25,44,0.15,8228.0
554,6,5,2024-10-02,38,0.15,969.0
555,1,5,2024-11-29,28,0.15,28560.0
556,7,1,2024-08-17,47,0.1,12690.0
557,10,3,2024-02-20,27,0.05,51.3
558,8,2,2024-01-06,31,0.1,558.0
559,4,1,2024-02-26,1,0.1,54.0
560,8,3,2023-09-16,49,0.1,882.0
561,7,3,2024-01-05,12,0.0,3600.0
562,1,4,2023-12-19,25,0.05,28500.0
563,4,2,2024-06-24,9,0.0,540.0
564,10,3,2023-04-10,36,0.15,61.199999999999996
565,3,4,2023-01-10,28,0.0,4200.0
566,3,3,2024-03-18,27,0.0,4050.0
567,4,3,2023-11-01,25,0.15,1275.0
568,6,5,2023-12-02,1,0.15,25.5
569,4,2,2023-06-02,2,0.0,120.0
570,1,5,2024-07-07,42,0.15,42840.0
571,1,3,2023-09-11,44,0.1,47520.0
572,10,1,2023-02-10,25,0.05,47.5
573,2,3,2023-06-04,30,0.15,20400.0
574,3,1,2023-09-22,31,0.05,4417.5
575,7,2,2024-01-10,31,0.15,7905.0
576,2,5,2023-03-19,39,0.1,28080.0
577,6,4,2023-04-02,24,0.1,648.0
578,2,5,2023-03-17,3,0.0,2400.0
579,6,2,2024-12-26,49,0.1,1323.0
580,9,5,2024-06-17,16,0.15,68.0
581,2,4,2024-01-27,17,0.0,13600.0
582,1,1,2023-03-23,42,0.05,47880.0
583,6,2,2024-01-29,10,0.05,285.0
584,8,5,2024-02-11,17,0.15,289.0
585,9,2,2023-01-01,46,0.1,207.0
586,7,5,2023-01-27,49,0.15,12495.0
587,6,2,2023-09-01,38,0.05,1083.0
588,1,4,2024-07-12,2,0.05,2280.0
589,7,2,2024-04-23,32,0.1,8640.0
